country,state,county,city,zip_code,super_zipcode
US,California,Alameda,Fremont,94,501
US,California,Alameda,Fremont,94,501
US,California,Alameda,Fremont,94,501
US,California,Alpine,Kirkwood,95,646
US,Texas,Bailey,Enochs,79,324
US,Texas,Bailey,Maple,79,344
US,Texas,Bailey,Muleshoe,79,347
US,Texas,Bandera,Tarpley,78,883,
US,Texas,Bandera,Vanderpool,78,885
US,New York,Albany,Alcove,12,007
US,New York,Albany,Altamont,12,009
US,New York,Allegany,Centerville,12,469
US,New York,Allegany,Richburg,14,774
US,New York,Bronx,Bronx,10,472
US,New York,Broome,Castle Creek,13,737
US,New Jersey,Atlantic,Absecon,82,01
US,New Jersey,Atlantic,Brigantine,82,03
US,New Jersey,Atlantic,Cologne,82,13
US,New Jersey,Bergen,Edgewater,70,20
US,Washington,Adams,Benge,99,105
US,Washington,Adams,Ritzville,99,169
US,Washington,Clark,Amboy,98,601
US,Virginia,Fairfax,Centreville,20,120
IN,Uttar Pradesh,Saharanpur,Macharheri,247,001
IN,Uttar Pradesh,Saharanpur,Phandpuri,247,001
IN,Uttar Pradesh,Saharanpur,Chakrata Road,247,001
IN,Uttar Pradesh,Saharanpur,Sabdalpur,247,001
IN,Uttar Pradesh,Saharanpur,Sabdalpur,247,120
IN,Uttar Pradesh,Muzaffarnagar,Biral,247,771
IN,Uttar Pradesh,Bijnor,Faridpur Bhogi,246,701
IN,Uttar Pradesh,Moradabad,Sitapuri,244,001
IN,Maharashtra,Nandurbar,Padalda,425,409
IN,Maharashtra,Nandurbar,Lonkheda,425,409
IN,Maharashtra,Nandurbar,Karjot,425,444
IN,Maharashtra,Dhule,Nakane,424,002
IN,Maharashtra,Dhule,kodid,425,428
IN,Maharashtra,Jalgaon,Shivani,424,105
IN,Maharashtra,Buldhana,Raipur,443,002
IN,Tamil Nadu,Tiruvallur,Kaladipet,600,019
IN,Tamil Nadu,Chennai,Mannady,600,001
IN,Tamil Nadu,Kanchipuram,Meenambakkam,600,016
IN,Karnataka,Belagavi,Belagavi,590,001
IN,Karnataka,Bagalkot,Muddapur,587,122
IN,Karnataka,Vijayapura,Bijjur,586,124
IN,Karnataka,Bidar,Muttangi,585,227
IN,Telangana,Hyderabad,Hyderabad G.P.O.,500,001
IN,Telangana,Hyderabad,Seetharampet,500,001
IN,Telangana,Hyderabad,Gandhi Bhawan,500,001
IN,Telangana,Hyderabad,SBH,500,001,
IN,Telangana,Hyderabad,Hyderabad Jubilee H.O,500,002
IN,Telangana,Hyderabad,Moghalpura,500,002
IN,Telangana,Warangal,Subedari,506,001
IN,Telangana,Warangal,Lashkar Bazar,506,001
IN,Andhra Pradesh,Krishna,Wnchipet,520,001
IN,Andhra Pradesh,Krishna,Vijayawada H.O,520,001
IN,Andhra Pradesh,Visakhapatnam,Visakhapatnam H.O,530,001
IN,Andhra Pradesh,Visakhapatnam,Fortward,530,001
IN,Andhra Pradesh,Visakhapatnam,Visakhapatnam Port,530,001
IN,Andhra Pradesh,Visakhapatnam,Kurupam Market,530,001
IN,Andhra Pradesh,East Godavari,Kakinada H.O,533,001
JP,Aichi Ken,Yatomi Shi,Rokujocho,490,1401
JP,Aichi Ken,Yatomi Shi,Gotoyama,490,1402
JP,Aichi Ken,Yatomi Shi,Toriganjicho,490,1403
JP,Aichi Ken,Yatomi Shi,Toriganji,490,1403
JP,Hokkaido,Kamikawa Gun,Hondorikita,081,0005
JP,Hokkaido,Kamikawa Gun,Sakaemachi,081,0006
JP,Hokkaido,Kamikawa Gun,Motomachi,081,0007
JP,Kyoto Fu,Yosa Gun,Kamanyu,626,0401
JP,Kyoto Fu,Yosa Gun,Choen,626,0402
JP,Tokyo To,Tama Shi,Wada,206,0001
AU,Aus Capital Territory,canberra,Aus Nat Univ,02,00
AU,New South Wales,Sydney Streets,Grosvenor,12,20
BE,Vlaanderen,Anvers,Lillo,20,40
BE,Vlaanderen,Limbourg,Kermt,35,10
DK,Midjylland,Horsens Kommune,Endealve,87,89
CH,Kanton Aargau,Bezirk,Aarau,50,00
FR,lle France,Paris,Paris,75,000
ES,Andalucia,Almeria,Almeria,04,001
ES,Andalucia,Almeria,El Palmer,04,002
ES,Andalucia,Almeria,El Palmer,04,003
ES,Andalucia,Almeria,El Palmer,04,004






























































